Date,Revenue,Expense,Profit
2023-01-01,100000,70000,30000
2023-02-01,120000,80000,40000
2023-03-01,110000,75000,35000
2023-04-01,130000,85000,45000
2023-05-01,125000,82000,43000
2023-06-01,140000,90000,50000
2023-07-01,135000,88000,47000
2023-08-01,150000,95000,55000
2023-09-01,145000,92000,53000
2023-10-01,160000,100000,60000
2023-11-01,155000,98000,57000
2023-12-01,170000,105000,65000
2024-01-01,175000,108000,67000
2024-02-01,180000,110000,70000
2024-03-01,185000,112000,73000
2024-04-01,190000,115000,75000
2024-05-01,195000,118000,77000
2024-06-01,200000,120000,80000
2024-07-01,205000,123000,82000
2024-08-01,210000,125000,85000
2024-09-01,215000,128000,87000
2024-10-01,220000,130000,90000
2024-11-01,225000,133000,92000
2024-12-01,230000,135000,95000
2025-01-01,235000,138000,97000
2025-02-01,240000,140000,100000
2025-03-01,245000,143000,102000
2025-04-01,250000,145000,105000
2025-05-01,255000,148000,107000
2025-06-01,260000,150000,110000
2025-07-01,265000,153000,112000
2025-08-01,270000,155000,115000
2025-09-01,275000,158000,117000
2025-10-01,280000,160000,120000
2025-11-01,285000,163000,122000
2025-12-01,290000,165000,125000
2026-01-01,295000,168000,127000
2026-02-01,300000,170000,130000
2026-03-01,305000,173000,132000
2026-04-01,310000,175000,135000
2026-05-01,315000,178000,137000
2026-06-01,320000,180000,140000
2026-07-01,325000,183000,142000
2026-08-01,330000,185000,145000
2026-09-01,335000,188000,147000
2026-10-01,340000,190000,150000
2026-11-01,345000,193000,152000
2026-12-01,350000,195000,155000
2027-01-01,355000,198000,157000
2027-02-01,360000,200000,160000
2027-03-01,365000,203000,162000
2027-04-01,370000,205000,165000
2027-05-01,375000,208000,167000
2027-06-01,380000,210000,170000
2027-07-01,385000,213000,172000
2027-08-01,390000,215000,175000
2027-09-01,395000,218000,177000
2027-10-01,400000,220000,180000
2027-11-01,405000,223000,182000
2027-12-01,410000,225000,185000
2028-01-01,415000,228000,187000
2028-02-01,420000,230000,190000
2028-03-01,425000,233000,192000
2028-04-01,430000,235000,195000
2028-05-01,435000,238000,197000
2028-06-01,440000,240000,200000
2028-07-01,445000,243000,202000
2028-08-01,450000,245000,205000
2028-09-01,455000,248000,207000
2028-10-01,460000,250000,210000
2028-11-01,465000,253000,212000
2028-12-01,470000,255000,215000
2029-01-01,475000,258000,217000
2029-02-01,480000,260000,220000
2029-03-01,485000,263000,222000
2029-04-01,490000,265000,225000
2029-05-01,495000,268000,227000
2029-06-01,500000,270000,230000
2029-07-01,505000,273000,232000
2029-08-01,510000,275000,235000
2029-09-01,515000,278000,237000
2029-10-01,520000,280000,240000
2029-11-01,525000,283000,242000
2029-12-01,530000,285000,245000
2030-01-01,535000,288000,247000
2030-02-01,540000,290000,250000
2030-03-01,545000,293000,252000
2030-04-01,550000,295000,255000
2030-05-01,555000,298000,257000
2030-06-01,560000,300000,260000
2030-07-01,565000,303000,262000
2030-08-01,570000,305000,265000
2030-09-01,575000,308000,267000
2030-10-01,580000,310000,270000
2030-11-01,585000,313000,272000
2030-12-01,590000,315000,275000
